StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q31,Prolific_ID,FI_Time_First Click,FI_Time_Last Click,FI_Time_Page Submit,FI_Time_Click Count,B1_wind_1,B1_flood_1,Appraisal1_1,Decision,SI_Time_First Click,SI_Time_Last Click,SI_Time_Page Submit,SI_Time_Click Count,Appraisal2_evac_4,Appraisal2_stay_1,B2_wind_1,B2_flood_1,age,gender,zipcode,prior_experience,MTurkCode,PROLIFIC_PID,Condition,QCity_zipcode,QState_zipcode,DeviceIdentifier
2022-04-08 07:53:32,2022-04-08 07:56:44,IP Address,99.24.149.82,100,191,True,2022-04-08 07:56:45,R_1lsJXVprcct1IPn,,,,,30.661699999999999732835931354202330112457275390625,-87.048000000000001818989403545856475830078125,anonymous,EN,I consent to taking part in this survey.,5bfaadc28422770001d9748f,37.485,52.261,54.772,4,120,13,8,Evacuate to a hotel up north paying at least $150 per night.,21.458,50.82,51.961,8,9,,151,20,63,Male,32570,Yes,6188174,5bfaadc28422770001d9748f,High Uncertainty - Cat 4,Milton,FL,
2022-04-08 08:20:53,2022-04-08 08:23:23,IP Address,172.109.142.182,100,150,True,2022-04-08 08:23:24,R_2w7f04tFdjakI6Y,,,,,27.78699999999999903366187936626374721527099609375,-82.6761000000000052523319027386605739593505859375,anonymous,EN,I consent to taking part in this survey.,60a542a97a13645dea5ea153,32.65,54.653,55.636,3,120,15,8,Evacuate to a hotel up north paying at least $150 per night.,19.07,32.984,34.415,4,5,,90,5,39,Male,33703,Yes,6475215,60a542a97a13645dea5ea153,High Uncertainty - Cat 2,Saint Petersburg,FL,
2022-04-08 08:24:32,2022-04-08 08:26:58,IP Address,71.208.149.100,100,145,True,2022-04-08 08:26:58,R_bCnboKNNgTjPSuJ,,,,,26.69089999999999918145476840436458587646484375,-81.9483000000000032514435588382184505462646484375,anonymous,EN,I consent to taking part in this survey.,5eb9af967fbf4b0d17bbe946,11.956,66.578,67.714,7,125,12,7,"Stay in your place, a one-story, single-detached house, and ride out the storm.",4.556,31.657,33.014,7,,9,145,16,31,Female,33914,Yes,1526794,5eb9af967fbf4b0d17bbe946,Low Uncertainty - Cat 4,Cape Coral,FL,
2022-04-08 08:27:34,2022-04-08 08:29:26,IP Address,70.226.21.135,100,111,True,2022-04-08 08:29:26,R_2dAV9yyp5G5x7WG,,,,,26.099000000000000198951966012828052043914794921875,-80.182199999999994588506524451076984405517578125,anonymous,EN,I consent to taking part in this survey.,5d7a90912fb68c001b06a218,9.087,13.369,14.672,2,120,6,5,"Stay in your place, a one-story, single-detached house, and ride out the storm.",8.576,15.876,16.777,3,,7,140,10,27,Female,33312,Yes,6763721,5d7a90912fb68c001b06a218,High Uncertainty - Cat 4,Fort Lauderdale,FL,
2022-04-08 08:30:01,2022-04-08 08:33:17,IP Address,173.171.200.172,100,196,True,2022-04-08 08:33:18,R_1ri7Q2V17e0uykq,,,,,28.113099999999999312194631784223020076751708984375,-81.6240999999999985448084771633148193359375,anonymous,EN,I consent to taking part in this survey.,5ca6bbf13b5fcf00100996e9,8.028,10.886,11.935,2,116,3,3,"Stay in your place, a one-story, single-detached house, and ride out the storm.",4.66,9.47,10.39,3,,5,136,5,56,Male,33844,Yes,5877408,5ca6bbf13b5fcf00100996e9,Low Uncertainty - Cat 4,Haines City,FL,
2022-04-08 08:39:04,2022-04-08 08:41:14,IP Address,71.238.82.228,100,130,True,2022-04-08 08:41:15,R_21AK4UieaLglWap,,,,,45.57770000000000010231815394945442676544189453125,-122.6795000000000044337866711430251598358154296875,anonymous,EN,I consent to taking part in this survey.,60b2a2f37f0a7e82c19613ba,31.433,48.769,50.508,3,85,15,3,"Stay in your place, a one-story, single-detached house, and ride out the storm.",9.089,18.449,20.291,3,,1,80,6,40,Female,97212,Yes,4994130,60b2a2f37f0a7e82c19613ba,High Uncertainty - Cat 2,Portland,OR,
2022-04-08 08:41:05,2022-04-08 08:43:10,IP Address,107.77.215.26,100,124,True,2022-04-08 08:43:10,R_2yefoz59EUE9HZh,,,,,28.634399999999999408828443847596645355224609375,-81.6221000000000032059688237495720386505126953125,anonymous,EN,I consent to taking part in this survey.,5e29d24605043a02e9043472,6.347,34.049,34.788,8,95,4,6,Evacuate to a hotel up north paying at least $150 per night.,4.564,26.189,27.601,8,2,,116,5,44,Female,34787,Yes,3128062,5e29d24605043a02e9043472,High Uncertainty - Cat 4,Winter Garden,FL,
2022-04-08 08:46:01,2022-04-08 08:47:34,IP Address,76.110.246.57,100,93,True,2022-04-08 08:47:35,R_rkdVKWbGVtKxoaZ,,,,,26.254599999999999937472239253111183643341064453125,-80.1761999999999943611328490078449249267578125,anonymous,EN,I consent to taking part in this survey.,5b197b8088ee7400012ae154,1.792,32.936,33.371,9,150,20,7,"Stay in your place, a one-story, single-detached house, and ride out the storm.",2.019,22.226,23.074,8,,8,160,24,30,Female,33442,Yes,4547953,5b197b8088ee7400012ae154,High Uncertainty - Cat 4,Deerfield Beach,FL,
2022-04-08 08:50:04,2022-04-08 08:52:44,IP Address,73.85.220.168,100,159,True,2022-04-08 08:52:44,R_27mnMZagQUVIQTz,,,,,26.067099999999999937472239253111183643341064453125,-80.2767999999999943838702165521681308746337890625,anonymous,EN,I consent to taking part in this survey.,5dd40277e08a363e4e006384,36.5,46.985,50.242,6,90,5,4,"Stay in your place, a one-story, single-detached house, and ride out the storm.",0.816,30.056,31.609,6,,2,80,4,41,Female,33325,Yes,8574759,5dd40277e08a363e4e006384,High Uncertainty - Cat 2,Fort Lauderdale,FL,
2022-04-08 08:51:44,2022-04-08 08:53:03,IP Address,73.0.231.101,100,78,True,2022-04-08 08:53:03,R_2Yh7THTv4wpmFjO,,,,,27.393699999999999050714905024506151676177978515625,-80.3174999999999954525264911353588104248046875,anonymous,EN,I consent to taking part in this survey.,60a30f9cd72ab8c6198d1bf6,13.167,22.249,23.62,3,90,6,4,"Stay in your place, a one-story, single-detached house, and ride out the storm.",9.2,18.927,20.033,6,,7,120,12,39,Male,34951,Yes,5308717,60a30f9cd72ab8c6198d1bf6,Low Uncertainty - Cat 4,Fort Pierce,FL,
2022-04-08 08:49:57,2022-04-08 08:53:51,IP Address,24.129.96.90,100,233,True,2022-04-08 08:53:51,R_2QJxlyLKKwMJryN,,,,,30.351099999999998857447280897758901119232177734375,-81.506000000000000227373675443232059478759765625,anonymous,EN,I consent to taking part in this survey.,5cb929bfebd17d0017e7f848,25.983,32.903,56.39,3,105,5,7,"Stay in your place, a one-story, single-detached house, and ride out the storm.",34.143,52.881,68.358,4,,9,126,10,62,Male,32246,Yes,7612593,5cb929bfebd17d0017e7f848,Low Uncertainty - Cat 4,Jacksonville,FL,
2022-04-08 08:51:36,2022-04-08 08:54:48,IP Address,70.171.18.12,100,191,True,2022-04-08 08:54:48,R_2TpXmktYqnrlFtr,,,,,29.613800000000001233502189279533922672271728515625,-82.385999999999995679900166578590869903564453125,anonymous,EN,I consent to taking part in this survey.,61378a5182550ada765ffa19,7.6,36.749,37.401,5,120,12,7,"Stay in your place, a one-story, single-detached house, and ride out the storm.",3.872,19.563,20.1,8,,7,120,10,32,Female,32601,Yes,2035284,61378a5182550ada765ffa19,High Uncertainty - Cat 2,Gainesville,FL,
2022-04-08 08:54:41,2022-04-08 08:57:12,IP Address,207.244.191.33,100,151,True,2022-04-08 08:57:13,R_3CZ7s6cShXbzpCH,,,,,25.8489000000000004320099833421409130096435546875,-80.1449999999999960209606797434389591217041015625,anonymous,EN,I consent to taking part in this survey.,5e0815b567f170172799e072,23.503,41.503,43.536,3,120,12,8,Evacuate to a hotel up north paying at least $150 per night.,4.675,48.207,48.896,6,9,,140,15,25,Male,33140,Yes,1171238,5e0815b567f170172799e072,High Uncertainty - Cat 4,Miami Beach,FL,
2022-04-08 08:56:45,2022-04-08 08:58:01,IP Address,71.46.236.251,100,75,True,2022-04-08 08:58:01,R_297c3ywTJ5YQvyy,,,,,28.578800000000001091393642127513885498046875,-81.4395999999999986584953148849308490753173828125,anonymous,EN,I consent to taking part in this survey.,539850c7fdf99b1ccc3f1302,16.866,21.815,22.64,2,120,15,2,"Stay in your place, a one-story, single-detached house, and ride out the storm.",7.133,18.5,19.273,3,,1,110,10,28,Female,33409,Yes,6525172,539850c7fdf99b1ccc3f1302,High Uncertainty - Cat 2,West Palm Beach,FL,
2022-04-08 08:58:00,2022-04-08 08:59:42,IP Address,35.136.144.119,100,101,True,2022-04-08 08:59:42,R_2xEqVngSSXz2CzQ,,,,,27.84850000000000136424205265939235687255859375,-82.794399999999995998223312199115753173828125,anonymous,EN,I consent to taking part in this survey.,588908498fd7f00001d735f8,20.127,32.298,33.506,6,117,10,3,"Stay in your place, a one-story, single-detached house, and ride out the storm.",12.765,26.182,30,5,,4,131,13,34,Male,33777,Yes,2363534,588908498fd7f00001d735f8,High Uncertainty - Cat 4,Seminole,FL,
2022-04-08 08:58:27,2022-04-08 08:59:43,IP Address,74.83.96.210,100,76,True,2022-04-08 08:59:44,R_1hN02jhs9T0uhVk,,,,,38.9406000000000034333424991928040981292724609375,-84.3943000000000012050804798491299152374267578125,anonymous,EN,I consent to taking part in this survey.,570665aeac75a4000f94eddc,13.95,26.633,27.427,5,120,12,2,"Stay in your place, a one-story, single-detached house, and ride out the storm.",8.377,16.561,17.484,4,,5,140,16,28,Female,41001,Yes,8163489,570665aeac75a4000f94eddc,High Uncertainty - Cat 4,Alexandria,KY,
2022-04-08 08:54:57,2022-04-08 09:05:54,IP Address,70.171.51.102,100,656,True,2022-04-08 09:05:54,R_2VwOAuJnfui5u8O,,,,,29.613800000000001233502189279533922672271728515625,-82.385999999999995679900166578590869903564453125,anonymous,EN,I consent to taking part in this survey.,5a1980eb5d06850001b00d84,47.598,49.115,50.095,2,123,9,7,"Stay in your place, a one-story, single-detached house, and ride out the storm.",2.888,8.488,9.063,6,,7,145,16,32,Female,32610,Yes,3645114,5a1980eb5d06850001b00d84,Low Uncertainty - Cat 4,Gainesville,FL,
2022-04-08 09:05:41,2022-04-08 09:08:26,IP Address,71.47.232.60,100,165,True,2022-04-08 09:08:27,R_6lfQ7sbPuC6d3Ox,,,,,28.52740000000000009094947017729282379150390625,-81.60120000000000572981662116944789886474609375,anonymous,EN,I consent to taking part in this survey.,5b9b412a07c6960001614bf6,56.206,68.173,70.166,3,124,15,6,"Stay in your place, a one-story, single-detached house, and ride out the storm.",18.991,37.586,39.41,5,,5,87,5,23,Female,33896,No,2830438,5b9b412a07c6960001614bf6,High Uncertainty - Cat 2,Davenport,FL,
2022-04-08 09:05:52,2022-04-08 09:09:44,IP Address,69.49.75.28,100,232,True,2022-04-08 09:09:44,R_1et3YuKMuqFu5MQ,,,,,41.4318999999999988403942552395164966583251953125,-91.0485000000000042064129956997931003570556640625,anonymous,EN,I consent to taking part in this survey.,6202990aef1cb18a1337c3c3,3.386,68.037,72.927,14,96,12,8,Evacuate to a hotel up north paying at least $150 per night.,6.037,49.226,50.941,9,9,,144,19,51,Female,34653,Yes,6972615,6202990aef1cb18a1337c3c3,Low Uncertainty - Cat 4,New Port Richey,FL,
2022-04-08 09:12:33,2022-04-08 09:14:46,IP Address,70.171.49.217,100,133,True,2022-04-08 09:14:51,R_ptUL3loLTpazP4l,,,,,29.64750000000000085265128291212022304534912109375,-82.40399999999999636202119290828704833984375,anonymous,EN,I consent to taking part in this survey.,6110d5ef0db16ce9a230e7b6,28.955,40.725,42.43,3,140,17,9,Evacuate to a hotel up north paying at least $150 per night.,8.091,36.828,37.815,8,1,,160,24,27,Male,32608,No,8266547,6110d5ef0db16ce9a230e7b6,High Uncertainty - Cat 4,Gainesville,FL,
2022-04-08 09:13:37,2022-04-08 09:15:38,IP Address,35.143.225.19,100,120,True,2022-04-08 09:15:38,R_2bV7vluQczcHHO8,,,,,27.84850000000000136424205265939235687255859375,-82.794399999999995998223312199115753173828125,anonymous,EN,I consent to taking part in this survey.,5c7de7a44a0a4b001686fd98,30.309,32.551,40.994,2,120,12,6,"Stay in your place, a one-story, single-detached house, and ride out the storm.",12.89,28.621,29.622,6,,8,145,15,21,Male,33756,Yes,4363017,5c7de7a44a0a4b001686fd98,Low Uncertainty - Cat 4,Clearwater,FL,
2022-04-08 09:07:42,2022-04-08 09:20:56,IP Address,108.216.4.79,100,794,True,2022-04-08 09:20:56,R_RlU9ZjWJx1MjCk9,,,,,29.947500000000001563194018672220408916473388671875,-81.526399999999995316102285869419574737548828125,anonymous,EN,I consent to taking part in this survey.,5809f556b869700001d71179,168.252,194.855,196.102,21,100,8,7,Evacuate to a hotel up north paying at least $150 per night.,0.651,29.125,29.931,18,5,,95,4,37,Male,32259,No,3069330,5809f556b869700001d71179,High Uncertainty - Cat 2,Saint Johns,FL,
2022-04-08 09:21:45,2022-04-08 09:23:46,IP Address,165.225.222.236,100,120,True,2022-04-08 09:23:47,R_1ls2cf1aCfQTRAR,,,,,28.393899999999998584598870365880429744720458984375,-81.4215999999999979763742885552346706390380859375,anonymous,EN,I consent to taking part in this survey.,60750163b9a82e46f7734e37,3.518,23.202,24.144,4,116,11,7,"Stay in your place, a one-story, single-detached house, and ride out the storm.",4.366,23.558,24.657,9,,9,152,17,32,Female,33149,Yes,5241140,60750163b9a82e46f7734e37,High Uncertainty - Cat 4,Key Biscayne,FL,
2022-04-08 09:24:26,2022-04-08 09:28:38,IP Address,68.111.124.126,100,252,True,2022-04-08 09:28:38,R_XU3Qo0TW4TvubxT,,,,,30.419799999999998618704921682365238666534423828125,-86.6280000000000001136868377216160297393798828125,anonymous,EN,I consent to taking part in this survey.,5ee3c11471f86b07e7c1fc46,19.055,21.673,26.016,3,125,12,3,"Stay in your place, a one-story, single-detached house, and ride out the storm.",8.896,25.723,26.596,6,,6,140,16,34,Male,32542,Yes,6623197,5ee3c11471f86b07e7c1fc46,Low Uncertainty - Cat 4,Eglin Afb,FL,
2022-04-08 09:25:05,2022-04-08 09:28:40,IP Address,204.84.120.253,100,214,True,2022-04-08 09:28:40,R_10D82E202I3GnZg,,,,,36.0405999999999977490006131120026111602783203125,-80.2600000000000051159076974727213382720947265625,anonymous,EN,I consent to taking part in this survey.,60ff1539d9a91f7b81bb2806,141.634,156.358,158.247,3,120,12,3,Evacuate to a hotel up north paying at least $150 per night.,7.378,15.027,15.926,3,2,,119,12,21,Female,34221,Yes,7392951,60ff1539d9a91f7b81bb2806,High Uncertainty - Cat 2,Palmetto,FL,
2022-04-08 09:32:51,2022-04-08 09:34:18,IP Address,47.196.71.233,100,87,True,2022-04-08 09:34:18,R_2R8MOIaTZE9rCUM,,,,,27.903199999999998226485331542789936065673828125,-82.291100000000000136424205265939235687255859375,anonymous,EN,I consent to taking part in this survey.,612d392b4ed3130794cc1eeb,21.877,26.99,28.826,2,125,15,10,"Stay in your place, a one-story, single-detached house, and ride out the storm.",6.42,25.83,26.49,3,,10,155,18,18,Female,33511,Yes,5373666,612d392b4ed3130794cc1eeb,Low Uncertainty - Cat 4,Brandon,FL,
2022-04-08 09:33:15,2022-04-08 09:35:38,IP Address,47.204.109.90,100,143,True,2022-04-08 09:35:38,R_Rl7wgWbA41R4kcV,,,,,27.946999999999999175770426518283784389495849609375,-82.7943000000000068894223659299314022064208984375,anonymous,EN,I consent to taking part in this survey.,607d8d87cda66ac1ec2b0efe,46.594,53.795,54.625,2,125,14,7,"Stay in your place, a one-story, single-detached house, and ride out the storm.",22.89,38.233,38.909,4,,7,115,10,31,Male,33770,Yes,8248130,607d8d87cda66ac1ec2b0efe,High Uncertainty - Cat 2,Largo,FL,
2022-04-08 09:41:44,2022-04-08 09:44:19,IP Address,184.91.146.179,100,155,True,2022-04-08 09:44:19,R_2xDBCj9guzGpydy,,,,,28.45660000000000167119651450775563716888427734375,-80.79779999999999517967808060348033905029296875,anonymous,EN,I consent to taking part in this survey.,5e677008721c1e000b525509,26.174,45.834,47.795,3,150,12,3,"Stay in your place, a one-story, single-detached house, and ride out the storm.",13.651,43.625,46.213,4,,5,160,16,41,Female,32927,Yes,6349129,5e677008721c1e000b525509,High Uncertainty - Cat 4,Cocoa,FL,
2022-04-08 09:45:27,2022-04-08 09:47:48,IP Address,107.221.219.120,100,140,True,2022-04-08 09:47:48,R_22QBwrMLKT9Mhs8,,,,,28.507400000000000517275111633352935314178466796875,-81.0707000000000022055246517993509769439697265625,anonymous,EN,I consent to taking part in this survey.,5a9416ba6475f900019fa690,12.997,16.545,18.128,2,95,5,7,"Stay in your place, a one-story, single-detached house, and ride out the storm.",14.065,29.759,30.5,3,,5,120,12,28,Male,32833,Yes,7993778,5a9416ba6475f900019fa690,Low Uncertainty - Cat 4,Orlando,FL,
2022-04-08 09:49:12,2022-04-08 09:51:02,IP Address,65.34.238.5,100,109,True,2022-04-08 09:51:03,R_UF0EPC6t9PJ3FnP,,,,,40.82820000000000248974174610339105129241943359375,-72.7279999999999944293449516408145427703857421875,anonymous,EN,I consent to taking part in this survey.,61216e010f1e31186e270602,24.986,31.745,32.985,4,120,12,10,"Stay in your place, a one-story, single-detached house, and ride out the storm.",10.001,28.27,29.592,9,,10,140,16,27,Female,33436,Yes,1919711,61216e010f1e31186e270602,High Uncertainty - Cat 4,Boynton Beach,FL,
2022-04-08 09:49:20,2022-04-08 09:51:53,IP Address,72.185.234.158,100,153,True,2022-04-08 09:51:53,R_2CBqD5wOHgWFFj6,,,,,28.01089999999999946567186270840466022491455078125,-82.49479999999999790816218592226505279541015625,anonymous,EN,I consent to taking part in this survey.,5bc79ce8f653a50001ce430e,41.999,58.432,59.282,4,140,14,8,Evacuate to a hotel up north paying at least $150 per night.,5.063,46.961,48.094,10,4,,120,9,33,Female,33626,Yes,6538554,5bc79ce8f653a50001ce430e,High Uncertainty - Cat 2,Tampa,FL,
