StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q31,Prolific_ID,FI_Time_First Click,FI_Time_Last Click,FI_Time_Page Submit,FI_Time_Click Count,B1_wind_1,B1_flood_1,Appraisal1_1,Decision,SI_Time_First Click,SI_Time_Last Click,SI_Time_Page Submit,SI_Time_Click Count,Appraisal2_evac_4,Appraisal2_stay_1,B2_wind_1,B2_flood_1,age,gender,zipcode,prior_experience,MTurkCode,PROLIFIC_PID,QCity_zipcode,QState_zipcode,DeviceIdentifier
2022-04-11 09:44:56,2022-04-11 09:46:32,IP Address,76.101.29.69,100,96,True,2022-04-11 09:46:33,R_2dsSdEmsUxiEB5J,,,,,26.5543975830078125,-81.902099609375,anonymous,EN,I consent to taking part in this survey.,5e3adfc595ff562fbdd130fa,15.384,22.808,26.509,3,114,8,9,Evacuate to a hotel up north paying at least $150 per night.,6.73,18.973,22.357,4,10,,136,10,35,Male,33919,Yes,3000455,5e3adfc595ff562fbdd130fa,Fort Myers,FL,
2022-04-11 09:45:09,2022-04-11 09:47:07,IP Address,73.84.237.216,100,117,True,2022-04-11 09:47:07,R_NUU7saUzRRSiBsR,,,,,25.7738037109375,-80.3583984375,anonymous,EN,I consent to taking part in this survey.,5ecd4acdb218ec085c6eefe6,7.4,31.479,31.717,5,120,10,6,Evacuate to a hotel up north paying at least $150 per night.,3.119,15.355,16.521,6,9,,140,16,33,Male,33174,Yes,3099837,5ecd4acdb218ec085c6eefe6,Miami,FL,
2022-04-11 09:45:11,2022-04-11 09:47:23,IP Address,98.48.34.5,100,132,True,2022-04-11 09:47:24,R_2f8sFdx4YGoHSfQ,,,,,35.656494140625,-106.010498046875,anonymous,EN,I consent to taking part in this survey.,5dcae5f05b73eb7c6150d33f,24.834,34.141,35.227,3,90,5,3,Stay in your apartment on the third floor and ride out the storm.,7.938,37.076,38.344,4,,5,140,8,57,Female,87507,Yes,9513093,5dcae5f05b73eb7c6150d33f,Santa Fe,NM,
2022-04-11 09:44:57,2022-04-11 09:47:30,IP Address,71.203.145.3,100,153,True,2022-04-11 09:47:30,R_2axKNRk5g3mkjz9,,,,,30.2230072021484375,-81.75949859619140625,anonymous,EN,I consent to taking part in this survey.,5ac013129534ba0001c7155f,15.676,27.768,29.674,4,150,8,5,Evacuate to a hotel up north paying at least $150 per night.,6.368,40.529,40.84,8,3,,160,10,29,Female,32221,Yes,3718481,5ac013129534ba0001c7155f,Jacksonville,FL,
2022-04-11 09:45:56,2022-04-11 09:47:48,IP Address,99.196.31.145,100,111,True,2022-04-11 09:47:49,R_OjUtQkVLscd34Mp,,,,,38.658294677734375,-77.24810028076171875,anonymous,EN,I consent to taking part in this survey.,5dab320180cabf00168279d7,19.367,21.322,22.022,2,105,10,0,Stay in your apartment on the third floor and ride out the storm.,6.631,25.648,26.577,3,,0,130,14,38,Male,32693,Yes,8061682,5dab320180cabf00168279d7,Trenton,FL,
2022-04-11 09:44:03,2022-04-11 09:48:34,IP Address,184.59.184.90,100,270,True,2022-04-11 09:48:35,R_bsCpYKXdCKrx1Dz,,,,,40.82440185546875,-81.3397979736328125,anonymous,EN,I consent to taking part in this survey.,5758a78d768081000631a322,21.221,28.828,29.992,3,116,6,5,Stay in your apartment on the third floor and ride out the storm.,10.261,26.271,27.239,3,,9,135,10,53,Female,34465,Yes,1791032,5758a78d768081000631a322,Beverly Hills,FL,
2022-04-11 10:10:38,2022-04-11 10:12:01,IP Address,169.139.0.25,100,82,True,2022-04-11 10:12:02,R_2zAsETNi5ZCmnLS,,,,,26.1858062744140625,-80.23999786376953125,anonymous,EN,I consent to taking part in this survey.,610852818a92c4b09b9ae330,15.5,26.407,26.873,7,113,10,7,Evacuate to a hotel up north paying at least $150 per night.,5.518,18.539,19.299,6,8,,135,14,26,Female,33426,Yes,9718742,610852818a92c4b09b9ae330,Boynton Beach,FL,
2022-04-11 10:15:47,2022-04-11 10:16:49,IP Address,35.140.64.127,100,61,True,2022-04-11 10:16:49,R_C2iTjMP6rDSL7rj,,,,,27.704498291015625,-82.43379974365234375,anonymous,EN,I consent to taking part in this survey.,601c2c63f899976cb35c1269,9.456,21.399,22.097,4,120,12,7,Stay in your apartment on the third floor and ride out the storm.,3.991,11.286,12.005,5,,5,115,7,22,Female,33573,Yes,3688613,601c2c63f899976cb35c1269,Sun City Center,FL,
2022-04-11 10:31:50,2022-04-11 10:33:26,IP Address,76.108.3.223,100,95,True,2022-04-11 10:33:26,R_25uzUaYGYntzubo,,,,,25.95849609375,-80.13809967041015625,anonymous,EN,I consent to taking part in this survey.,5c6efe3a04b76500015f9756,23.593,28.42,29.157,2,120,12,5,Stay in your apartment on the third floor and ride out the storm.,11.958,25.496,28.6,3,,7,140,16,30,Male,33180,Yes,6473675,5c6efe3a04b76500015f9756,Miami,FL,
2022-04-11 10:23:18,2022-04-11 10:35:41,IP Address,97.106.231.230,100,742,True,2022-04-11 10:35:42,R_302imZY2KAcXEpx,,,,,27.9091033935546875,-82.80280303955078125,anonymous,EN,I consent to taking part in this survey.,5e4af801951a1801208e7cac,255.157,348.48,375.462,4,120,12,6,Evacuate to a hotel up north paying at least $150 per night.,60.421,116.219,121.167,6,8,,141,16,77,Female,33770,Yes,8407169,5e4af801951a1801208e7cac,Largo,FL,
2022-04-11 10:36:32,2022-04-11 10:38:44,IP Address,172.58.175.248,100,132,True,2022-04-11 10:38:45,R_R2fkOm5J5oUrJ1D,,,,,28.5435943603515625,-81.37380218505859375,anonymous,EN,I consent to taking part in this survey.,5f9c99dc06f5f916e9547c10,5.85,49.535,50.424,13,130,11,7,Stay in your apartment on the third floor and ride out the storm.,4.786,26.851,27.305,14,,9,140,15,19,Female,32962,Yes,9979234,5f9c99dc06f5f916e9547c10,Vero Beach,FL,
2022-04-11 10:36:30,2022-04-11 10:39:09,IP Address,104.181.34.197,100,158,True,2022-04-11 10:39:10,R_AbpVP9SyBiwNOy5,,,,,26.0670928955078125,-80.27680206298828125,anonymous,EN,I consent to taking part in this survey.,5de55783e520274db68ca01c,26.671,36.582,41.672,2,110,14,6,Stay in your apartment on the third floor and ride out the storm.,14.798,40.899,50,4,,8,130,16,34,Male,33021,Yes,7331890,5de55783e520274db68ca01c,Hollywood,FL,
2022-04-11 10:38:09,2022-04-11 10:40:03,IP Address,174.58.9.38,100,113,True,2022-04-11 10:40:03,R_3ehuixD1vKT0XRT,,,,,27.326904296875,-82.54329681396484375,anonymous,EN,I consent to taking part in this survey.,61009b8d84bfd7086deec45a,32.966,38.471,39.99,2,99,15,5,Stay in your apartment on the third floor and ride out the storm.,14.986,35.801,39.212,4,,5,119,15,52,Female,34235,Yes,7369820,61009b8d84bfd7086deec45a,Sarasota,FL,
2022-04-11 10:56:40,2022-04-11 10:58:25,IP Address,73.0.124.209,100,105,True,2022-04-11 10:58:26,R_1FyMzPAZdp1WgFB,,,,,27.2621002197265625,-80.3834991455078125,anonymous,EN,I consent to taking part in this survey.,5c574d3f53fba80001bd302e,27.936,37.004,38.062,5,110,5,5,Stay in your apartment on the third floor and ride out the storm.,8.367,12.973,13.911,3,,6,120,8,31,Female,34953,Yes,8175993,5c574d3f53fba80001bd302e,Port Saint Lucie,FL,
2022-04-11 10:57:28,2022-04-11 10:59:24,IP Address,73.85.113.5,100,116,True,2022-04-11 10:59:25,R_10q4PXFxK2SAhrz,,,,,26.0619964599609375,-80.33679962158203125,anonymous,EN,I consent to taking part in this survey.,566c9284d408ea000519c6d7,14.202,38.878,44.911,5,150,12,2,Stay in your apartment on the third floor and ride out the storm.,8.503,33.12,34.913,6,,7,160,16,32,Male,33330,Yes,5376099,566c9284d408ea000519c6d7,Fort Lauderdale,FL,
2022-04-11 11:06:57,2022-04-11 11:09:08,IP Address,132.170.209.233,100,130,True,2022-04-11 11:09:08,R_2dsbV0pkXZoldgv,,,,,28.6613006591796875,-81.11519622802734375,anonymous,EN,I consent to taking part in this survey.,610c211d64abd9ee4914b7f8,45.619,48.786,49.559,2,115,10,7,Evacuate to a hotel up north paying at least $150 per night.,15.856,25.968,26.979,3,10,,130,18,21,Female,32826,Yes,1598061,610c211d64abd9ee4914b7f8,Orlando,FL,
2022-04-11 11:07:00,2022-04-11 11:09:59,IP Address,73.55.5.13,100,179,True,2022-04-11 11:09:59,R_2e8UUv0EAgJXVPC,,,,,27.2400054931640625,-82.47550201416015625,anonymous,EN,I consent to taking part in this survey.,5b3e57b3c2e381000175e656,32.68,65.014,66.737,3,120,12,5,Stay in your apartment on the third floor and ride out the storm.,19.208,37.941,39.454,4,,7,140,16,67,Male,34231,Yes,4023434,5b3e57b3c2e381000175e656,Sarasota,FL,
2022-04-11 11:10:33,2022-04-11 11:13:50,IP Address,198.136.190.254,100,197,True,2022-04-11 11:13:51,R_1IFPeA61Jxgde3O,,,,,28.515594482421875,-81.35739898681640625,anonymous,EN,I consent to taking part in this survey.,614e088cf42a096eee875324,71.511,84.377,85.401,3,150,20,9,Evacuate to a hotel up north paying at least $150 per night.,38.54,59.246,60.669,5,7,,160,24,34,Male,34761,Yes,2161554,614e088cf42a096eee875324,Ocoee,FL,
2022-04-11 11:27:13,2022-04-11 11:28:12,IP Address,169.139.19.117,100,58,True,2022-04-11 11:28:12,R_2rvAhMRuIYGlIbv,,,,,25.69580078125,-80.36260223388671875,anonymous,EN,I consent to taking part in this survey.,5765c0fcf2e23200017ded5e,4.314,14.89,15.552,4,118,8,5,Stay in your apartment on the third floor and ride out the storm.,5.2,13.136,13.804,5,,5,148,14,30,Male,33155,Yes,5535041,5765c0fcf2e23200017ded5e,Miami,FL,
2022-04-11 11:26:58,2022-04-11 11:30:12,IP Address,70.188.244.120,100,193,True,2022-04-11 11:30:12,R_27vUQf92KfO0KXv,,,,,30.7772979736328125,-86.4832000732421875,anonymous,EN,I consent to taking part in this survey.,58cd449293499d00013488fe,23.743,48.474,51.158,2,125,12,10,Evacuate to a hotel up north paying at least $150 per night.,8.96,45.389,54.362,3,10,,140,18,59,Male,32539,Yes,9871192,58cd449293499d00013488fe,Crestview,FL,
2022-04-11 11:34:56,2022-04-11 11:37:04,IP Address,104.136.34.29,100,127,True,2022-04-11 11:37:05,R_2bHmpKEoP0W7kMQ,,,,,28.7935028076171875,-81.28679656982421875,anonymous,EN,I consent to taking part in this survey.,5ff1fd761d6cb468718cdbeb,11.275,39.847,40.744,8,105,8,4,Stay in your apartment on the third floor and ride out the storm.,0.752,35.353,36.379,13,,8,135,15,51,Female,32771,Yes,7305600,5ff1fd761d6cb468718cdbeb,Sanford,FL,
2022-04-11 11:35:56,2022-04-11 11:37:11,IP Address,97.106.14.33,100,74,True,2022-04-11 11:37:11,R_1hNoUC6ZEQQ9kJT,,,,,28.195098876953125,-81.606201171875,anonymous,EN,I consent to taking part in this survey.,5e48122927eb23000af799c7,18.134,23.511,24.323,2,107,6,6,Evacuate to a hotel up north paying at least $150 per night.,6.52,14.673,15.839,5,5,,102,7,45,Female,33897,Yes,1437796,5e48122927eb23000af799c7,Davenport,FL,
2022-04-11 11:34:30,2022-04-11 11:37:12,IP Address,107.72.178.201,100,162,True,2022-04-11 11:37:12,R_215jticUALDzN3s,,,,,25.829498291015625,-80.29270172119140625,anonymous,EN,I consent to taking part in this survey.,5c6f64cdcacbc8000113ed19,9.485,41.641,42.843,14,101,4,1,Stay in your apartment on the third floor and ride out the storm.,1.628,53.824,54.49,22,,2,82,5,55,Female,32967,Yes,6259570,5c6f64cdcacbc8000113ed19,Vero Beach,FL,
2022-04-11 11:36:45,2022-04-11 11:39:05,IP Address,97.96.16.96,100,139,True,2022-04-11 11:39:05,R_3OdC0BUIaJaPTUO,,,,,28.0791015625,-82.52449798583984375,anonymous,EN,I consent to taking part in this survey.,6123d102b713b8a947fd2eb2,26.542,34.224,37.92,3,115,10,5,Stay in your apartment on the third floor and ride out the storm.,23.315,47.785,49.636,5,,5,135,15,49,Male,33618,Yes,8998012,6123d102b713b8a947fd2eb2,Tampa,FL,
2022-04-11 11:44:46,2022-04-11 11:46:04,IP Address,73.42.73.106,100,77,True,2022-04-11 11:46:04,R_25vD2M89ttPXvyb,,,,,28.927398681640625,-81.981903076171875,anonymous,EN,I consent to taking part in this survey.,5b6259be5256470001bd0c6d,14.604,22.293,23.085,2,122,8,6,Evacuate to a hotel up north paying at least $150 per night.,9.493,18.194,21.046,7,8,,135,13,35,Male,32162,Yes,5714228,5b6259be5256470001bd0c6d,The Villages,FL,
2022-04-11 11:44:13,2022-04-11 11:46:19,IP Address,184.180.54.78,100,126,True,2022-04-11 11:46:19,R_3PTP85zshQc0K2R,,,,,30.4235992431640625,-87.22609710693359375,anonymous,EN,I consent to taking part in this survey.,6100c54397a1d59951d78b63,22.614,26.278,37.069,2,150,12,10,Evacuate to a hotel up north paying at least $150 per night.,21.699,45.83,46.491,3,10,,160,16,27,Female,32507,Yes,9835902,6100c54397a1d59951d78b63,Pensacola,FL,
2022-04-11 11:47:08,2022-04-11 11:47:45,IP Address,209.251.157.146,100,37,True,2022-04-11 11:47:46,R_2xMjZVMfdhVyXqd,,,,,29.6824951171875,-82.36060333251953125,anonymous,EN,I consent to taking part in this survey.,59ea4e1116ecc200016ff81e,3.768,5.26,5.927,2,123,10,6,Stay in your apartment on the third floor and ride out the storm.,3.396,6.986,7.691,3,,7,130,19,33,Male,32608,Yes,5829353,59ea4e1116ecc200016ff81e,Gainesville,FL,
2022-04-11 11:46:29,2022-04-11 11:48:46,IP Address,66.177.75.183,100,136,True,2022-04-11 11:48:46,R_1g2sJGdztn2ogIb,,,,,30.351104736328125,-81.5059967041015625,anonymous,EN,I consent to taking part in this survey.,607ec99a0e2f8caf3de9f839,27.692,34.263,35.72,2,100,5,3,Stay in your apartment on the third floor and ride out the storm.,22.348,51.438,52.667,3,,5,120,10,50,Female,32225,Yes,9515014,607ec99a0e2f8caf3de9f839,Jacksonville,FL,
2022-04-11 11:48:53,2022-04-11 11:50:30,IP Address,208.76.137.177,100,96,True,2022-04-11 11:50:30,R_RkQHh7kCXOMli5H,,,,,26.377105712890625,-81.7333984375,anonymous,EN,I consent to taking part in this survey.,5cf7df5a8e098100184cbf43,19.701,32.372,34.027,6,120,13,7,Evacuate to a hotel up north paying at least $150 per night.,9.69,22.565,23.735,6,7,,140,17,31,Male,33908,Yes,1601092,5cf7df5a8e098100184cbf43,Fort Myers,FL,
2022-04-11 11:49:56,2022-04-11 11:53:52,IP Address,99.135.26.74,100,236,True,2022-04-11 11:53:53,R_PSNFdLoZOteoTFT,,,,,26.1522064208984375,-80.31529998779296875,anonymous,EN,I consent to taking part in this survey.,5db3471c116235000e419784,2.345,69.408,71.115,5,110,8,9,Evacuate to a hotel up north paying at least $150 per night.,2.747,44.906,46.271,7,10,,130,15,41,Male,33351,Yes,3768974,5db3471c116235000e419784,Fort Lauderdale,FL,
2022-04-11 11:51:02,2022-04-11 11:54:30,IP Address,23.125.45.101,100,208,True,2022-04-11 11:54:30,R_2OTNa9RbVRPjDyD,,,,,25.533294677734375,-80.39730072021484375,anonymous,EN,I consent to taking part in this survey.,6017ee441e8f20aa1fbfb114,50.589,92.328,94.181,4,120,15,5,Stay in your apartment on the third floor and ride out the storm.,12.115,34.28,43.266,3,,7,140,20,26,Male,33032,Yes,7840946,6017ee441e8f20aa1fbfb114,Homestead,FL,
2022-04-11 11:51:25,2022-04-11 11:55:28,IP Address,97.103.161.84,100,243,True,2022-04-11 11:55:29,R_12gysBShLuO8WJm,,,,,28.33270263671875,-80.6147003173828125,anonymous,EN,I consent to taking part in this survey.,5825dc1f7fcbaa000134776e,38.436,86.804,87.834,8,120,12,5,Stay in your apartment on the third floor and ride out the storm.,20.5,50.668,52.067,7,,7,140,18,62,Male,32920,Yes,6533210,5825dc1f7fcbaa000134776e,Cape Canaveral,FL,
2022-04-11 11:53:56,2022-04-11 11:57:09,IP Address,172.58.174.133,100,193,True,2022-04-11 11:57:10,R_3dLC3TAitI8L81l,,,,,28.5177001953125,-81.45079803466796875,anonymous,EN,I consent to taking part in this survey.,5c0ea3d30fcb7c0001eab0d8,11.388,77.937,79.251,37,117,10,7,Stay in your apartment on the third floor and ride out the storm.,0.854,64.501,65.596,49,,8,138,14,49,Female,34471,Yes,4151712,5c0ea3d30fcb7c0001eab0d8,Ocala,FL,
2022-04-11 11:56:51,2022-04-11 11:58:50,IP Address,162.201.186.55,100,118,True,2022-04-11 11:58:50,R_AHDUvpSJrRmvTLX,,,,,25.9842987060546875,-80.21489715576171875,anonymous,EN,I consent to taking part in this survey.,5ea25b82a46065174c689daa,10.979,26.127,26.956,10,110,5,4,Stay in your apartment on the third floor and ride out the storm.,7.823,22.928,23.846,6,,7,126,12,52,Male,33021,Yes,7328080,5ea25b82a46065174c689daa,Hollywood,FL,
2022-04-11 11:57:53,2022-04-11 11:59:57,IP Address,75.91.81.4,100,124,True,2022-04-11 11:59:57,R_W6vT2QcECPGOInf,,,,,29.8096923828125,-82.467498779296875,anonymous,EN,I consent to taking part in this survey.,616c9115b3a3d2f885822a57,9.619,18.447,24.49,5,120,12,7,Evacuate to a hotel up north paying at least $150 per night.,12.147,27.806,31.073,3,5,,140,16,36,Male,32148,Yes,2201216,616c9115b3a3d2f885822a57,Interlachen,FL,
2022-04-11 11:56:39,2022-04-11 12:01:01,IP Address,108.189.77.83,100,262,True,2022-04-11 12:01:02,R_24MdXPPyxzvR7Tp,,,,,28.3887939453125,-80.7301025390625,anonymous,EN,I consent to taking part in this survey.,5ea768015e4ac615300743fc,15.026,185.935,187.031,3,112,10,5,Stay in your apartment on the third floor and ride out the storm.,10.209,26.862,28.1,5,,8,140,17,31,Female,32935,Yes,7517301,5ea768015e4ac615300743fc,Melbourne,FL,
2022-04-11 11:55:50,2022-04-11 12:01:46,IP Address,35.140.35.251,100,356,True,2022-04-11 12:01:46,R_6AvoZMg0OjM4PE5,,,,,27.542999267578125,-82.56020355224609375,anonymous,EN,I consent to taking part in this survey.,60a2b9a6ad671cebb06f2b0d,61.77,91.202,108.384,5,125,10,7,Evacuate to a hotel up north paying at least $150 per night.,40.078,153.07,168.087,11,7,,150,15,92,Female,34222,Yes,4108153,60a2b9a6ad671cebb06f2b0d,Ellenton,FL,
2022-04-11 12:00:04,2022-04-11 12:02:30,IP Address,69.130.100.160,100,145,True,2022-04-11 12:02:30,R_3m3JOe2jfjiwLQO,,,,,30.6797027587890625,-84.82830047607421875,anonymous,EN,I consent to taking part in this survey.,60fcec18d6375fa348df55f8,8.202,44.655,45.773,9,135,8,7,Stay in your apartment on the third floor and ride out the storm.,4.844,33.929,37.183,7,,10,140,10,43,Female,32351,Yes,4435117,60fcec18d6375fa348df55f8,Quincy,FL,
